T0,P0,phi,volume,final_T,final_h,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1623.674656,3598763.456,0.5302628605,1.991024327,2816.255956,1842063.703,0.001025956333,0.0003526856355,0.002083588998,0.08045998909,0.009672846805,0.09883031468,4.04E-05,2.87E-06,3.54E-15,5.42E-16,4.22E-16,4.30E-17,7.29E-16,1.28E-16,0.003551747075,0.04889487451,7.36E-09,9.21E-11,3.54E-15,8.10E-17,1.39E-16,1.13E-21,2.49E-20,1.56E-24,4.00E-25,2.90E-29,8.44E-31,6.65E-18,2.30E-18,1.20E-20,4.31E-07,7.35E-08,1.81E-08,1.41E-08,5.52E-08,0.02253423966,7.33E-05,9.65E-06,2.07E-06,3.45E-12,1.31E-10,5.63E-16,3.25E-18,3.50E-14,4.75E-11,5.22E-09,8.71E-10,0.7324648041,0,5.48E-43,1.49E-44,8.29E-23,6.50E-25
1619.948622,3772303.344,1.326253851,1.138493404,3288.870036,2047252.642,0.04668527393,0.008504388494,0.00135582315,0.001917659141,0.0125384003,0.1696116178,7.93E-06,1.74E-06,7.44E-11,4.13E-11,9.16E-11,1.04E-11,2.44E-10,9.20E-11,0.07781136564,0.03560385113,3.18E-06,1.23E-07,6.47E-11,1.81E-12,6.30E-12,2.64E-14,5.81E-13,4.30E-16,1.95E-16,1.81E-19,1.25E-20,2.28E-12,1.98E-12,2.06E-14,6.79E-06,4.17E-06,2.84E-06,3.92E-06,1.73E-06,0.005681026133,2.37E-06,2.68E-06,4.67E-06,1.39E-08,6.33E-07,4.22E-11,1.32E-13,4.19E-11,1.62E-08,9.78E-07,9.93E-08,0.6402467219,0,6.16E-29,4.01E-30,8.57E-16,7.00E-17
1082.763962,4599922.82,1.007669169,1.819605902,1083.267468,699020.3939,9.88E-07,1.13E-10,1.66E-10,0.1899212332,1.24E-09,5.89E-05,1.18E-06,1.13E-06,1.38E-31,6.24E-23,3.11E-14,4.41E-15,1.83E-06,0.09564505775,2.75E-06,5.40E-09,6.92E-12,4.35E-05,6.62E-14,7.17E-10,5.68E-07,1.44E-22,5.24E-12,1.55E-15,1.44E-07,2.35E-11,1.13E-05,2.88E-19,2.90E-11,5.68E-18,8.10E-23,2.37E-21,3.93E-24,1.57E-25,2.42E-15,1.32E-17,5.96E-18,4.35E-11,2.64E-21,8.30E-32,5.12E-21,1.36E-25,1.26E-23,1.48E-25,2.72E-27,5.72E-23,1.50E-22,0.7143113559,0,2.05E-13,7.07E-11,6.60E-14,7.95E-14
1582.047609,2017207.533,0.7935718178,1.574243067,3069.779789,1883247.338,0.006336518448,0.00246842841,0.004311588287,0.0359109044,0.01822262261,0.1338579327,3.71E-05,3.08E-06,7.13E-13,1.40E-13,1.28E-13,1.35E-14,1.57E-13,2.61E-14,0.01979942066,0.05548261548,1.39E-07,2.04E-09,2.16E-13,5.56E-15,8.72E-15,2.81E-18,3.80E-17,6.04E-21,1.30E-21,2.16E-25,6.42E-27,2.11E-15,7.77E-16,5.90E-18,2.90E-06,6.32E-07,1.71E-07,1.13E-07,2.53E-07,0.02033169851,2.93E-05,6.90E-06,4.02E-06,2.00E-10,5.16E-09,6.56E-14,3.29E-16,9.00E-13,5.90E-10,4.58E-08,9.39E-09,0.7031936685,0,1.53E-37,4.19E-39,6.75E-20,1.13E-21
1056.666108,3873077.133,1.482096865,1.043566832,1056.837755,596022.2019,3.92E-07,3.69E-11,5.51E-11,0.1817633721,3.55E-10,2.15E-05,4.97E-07,6.63E-07,5.08E-33,6.67E-24,7.17E-15,9.37E-16,1.19E-06,0.1346829739,5.23E-07,1.01E-09,1.51E-12,1.65E-05,9.23E-15,2.43E-10,2.31E-07,4.62E-24,7.01E-13,2.34E-16,4.21E-08,7.36E-12,4.59E-06,1.00E-20,3.38E-12,1.69E-19,1.23E-23,2.09E-22,1.22E-25,1.49E-27,5.96E-16,1.50E-18,2.76E-19,1.01E-11,2.38E-22,1.86E-33,4.51E-22,1.55E-26,1.31E-24,3.81E-27,5.60E-29,8.11E-25,4.14E-24,0.683507514,0,4.30E-14,1.53E-11,1.02E-14,8.97E-15
1228.877507,1680580.526,1.096051439,1.926599545,1235.120747,893585.1469,8.90E-05,1.78E-08,8.41E-09,0.1877088768,4.52E-08,0.0007894657982,8.35E-06,2.67E-06,6.21E-25,1.82E-18,8.74E-12,1.34E-12,1.77E-05,0.1022713893,0.0001179679071,6.07E-07,1.10E-09,0.0004290644931,1.71E-11,1.76E-08,8.08E-06,1.03E-17,3.30E-09,3.35E-12,1.05E-05,6.42E-09,0.000189042023,1.98E-14,4.34E-08,8.52E-14,1.91E-19,1.06E-17,4.96E-19,2.47E-19,2.01E-13,1.23E-14,7.73E-15,1.08E-09,1.06E-17,5.29E-26,3.95E-17,1.06E-21,1.05E-19,7.31E-21,4.11E-22,1.51E-18,1.05E-18,0.7083571013,0,1.44E-11,2.90E-08,4.32E-11,1.77E-10
1433.354149,2446764.775,1.335060701,1.776533502,3163.735834,1772677.786,0.04678075519,0.007273666723,0.0009404475443,0.001365012244,0.01006100617,0.1731851957,4.67E-06,1.07E-06,3.09E-11,1.72E-11,4.37E-11,4.69E-12,1.39E-10,5.95E-11,0.07726034673,0.03706016862,2.12E-06,8.56E-08,3.30E-11,8.78E-13,3.54E-12,9.46E-15,2.84E-13,1.61E-16,8.77E-17,6.36E-20,4.85E-21,1.03E-12,1.03E-12,8.79E-15,4.03E-06,2.49E-06,1.81E-06,2.97E-06,1.01E-06,0.004209064382,1.34E-06,1.66E-06,2.80E-06,7.30E-09,4.34E-07,2.06E-11,4.64E-14,1.90E-11,9.79E-09,6.79E-07,5.70E-08,0.6418370906,0,1.28E-29,9.30E-31,3.42E-16,3.10E-17
1171.232276,4277213.26,0.8484469181,1.560951928,1187.835794,845728.2732,9.34E-05,2.08E-08,9.62E-09,0.1912018792,1.13E-07,0.00191234675,2.15E-05,2.15E-05,1.86E-24,4.69E-18,1.87E-11,2.98E-12,1.65E-05,0.0798647863,0.0003787937593,3.53E-06,2.56E-09,0.0009458072236,6.61E-11,5.56E-08,2.23E-05,5.60E-17,1.03E-08,9.33E-12,2.32E-05,1.24E-08,0.0002724454695,1.05E-13,1.09E-07,6.19E-13,8.11E-20,2.72E-17,9.77E-19,9.36E-19,5.50E-13,1.47E-14,3.10E-14,1.96E-09,2.81E-17,1.14E-25,4.49E-17,6.64E-22,6.73E-19,2.13E-20,8.79E-22,2.27E-17,2.73E-18,0.7252217258,0,1.09E-10,6.76E-08,2.46E-10,4.32E-10
1099.188389,1348532.81,0.6014416832,0.6760426325,1099.26222,778555.4306,2.44E-07,1.61E-10,2.80E-10,0.1975912413,1.18E-09,9.11E-06,5.97E-07,1.62E-07,3.43E-31,1.13E-22,2.29E-14,3.30E-15,1.46E-06,0.05941077624,1.26E-07,7.52E-10,1.23E-12,7.48E-06,6.41E-15,2.70E-10,3.76E-08,3.32E-24,1.15E-13,1.37E-16,1.47E-08,9.04E-12,1.32E-06,1.10E-20,1.17E-12,3.13E-20,2.15E-22,1.61E-21,1.85E-25,3.24E-28,1.11E-15,5.38E-18,3.00E-19,9.72E-12,1.75E-21,3.54E-32,2.18E-21,2.30E-25,7.98E-24,1.01E-26,3.01E-28,1.55E-25,1.26E-24,0.7429774273,0,4.18E-15,4.70E-12,4.26E-15,1.23E-14
1243.53076,1515566.065,1.477330948,0.7513287162,1249.867402,874305.2459,0.000120824993,1.82E-08,7.03E-09,0.1811280779,3.76E-08,0.0008546873487,7.52E-06,2.44E-06,6.65E-25,1.85E-18,8.90E-12,1.32E-12,2.03E-05,0.1332340964,0.0001326812425,6.28E-07,1.31E-09,0.0004466816734,1.92E-11,1.68E-08,1.03E-05,1.39E-17,4.71E-09,4.76E-12,1.33E-05,8.20E-09,0.0002314469697,2.47E-14,5.95E-08,1.09E-13,2.20E-19,1.00E-17,6.08E-19,3.84E-19,1.84E-13,1.23E-14,6.70E-15,1.07E-09,9.89E-18,6.13E-26,4.91E-17,1.23E-21,9.52E-20,7.39E-21,4.70E-22,2.00E-18,1.39E-18,0.6837969146,0,1.68E-11,4.13E-08,4.91E-11,1.90E-10
